#### x (log10Mstar in solar masses), y (B/T)
5.465608465608465, 0
5.91005291005291, 0
6.257142857142857, 0
6.456084656084656, 0
6.6042328042328045, 0
6.705820105820106, 0
6.824338624338624, 0
6.925925925925926, 0
7.0359788359788356, 0
7.175661375661376, 0
7.349206349206349, 0
7.556613756613755, 0.048888888888889204
7.700529100529101, 0.04266666666666685
7.844444444444444, 0.036444444444444724
8.017989417989417, 0.064888888888889
8.174603174603174, 0.04266666666666685
8.263492063492063, 0.1173333333333334
8.390476190476189, 0.1013333333333335
8.530158730158728, 0.0906666666666669
8.767195767195766, 0.09777777777777796
