## Measurements of the probability distribution function of specific black hole accretion rates, p(log lambda_{sBHAR} | M_*,z),
## for All galaxies as a function of stellar mass and redshift.
## Taken from Aird et al. 2017b, MNRAS(in press), arXiv:1705.01132 (see Figure 2)
## Column description:
## z_lo, z_hi  - lower and upper limit of redshift bin
## mass_lo, mass_hi - lower and	upper limit of stellar mass bin	in log (Mstel/Msun)
## logl	- value	of log(specific black hole accretion rate) - see Equation 2 of Aird+17b
## p(median), p_lolim(90%CL), p_uplim(90%CL) - estimates of p(log lambda) (per unit dex), giving the median and 90% upper and lower
##                                             central confidence limits based on posterior distribution.
## flag	- 1 indicates reliable	measurement, 0 indicates potential for significant contamination by star formation thus unreliable.
##
#     z_lo      z_hi   mass_lo   mass_hi      logl      p(median)       p_lolim(90%CL)   p_uplim(90%CL)      flag
      0.50      1.00      8.50      9.00     -0.12       6.78E-04       1.95E-04       1.62E-03   1
      0.50      1.00      8.50      9.00     -0.04       5.98E-04       1.74E-04       1.45E-03   1
      0.50      1.00      8.50      9.00      0.04       5.10E-04       1.42E-04       1.25E-03   1
      0.50      1.00      8.50      9.00      0.12       4.16E-04       1.18E-04       1.08E-03   1
      0.50      1.00      8.50      9.00      0.20       3.30E-04       8.86E-05       9.18E-04   1
      0.50      1.00      8.50      9.00      0.28       2.60E-04       6.52E-05       7.56E-04   1
      0.50      1.00      8.50      9.00      0.36       1.98E-04       4.57E-05       6.32E-04   1
      0.50      1.00      8.50      9.00      0.44       1.52E-04       3.35E-05       5.35E-04   1
      0.50      1.00      8.50      9.00      0.52       1.20E-04       2.45E-05       4.39E-04   1
      0.50      1.00      8.50      9.00      0.60       9.55E-05       1.82E-05       3.72E-04   1
      0.50      1.00      8.50      9.00      0.68       7.69E-05       1.33E-05       3.21E-04   1
      0.50      1.00      8.50      9.00      0.76       6.34E-05       1.05E-05       2.74E-04   1
      0.50      1.00      8.50      9.00      0.84       5.35E-05       8.36E-06       2.51E-04   1
      0.50      1.00      8.50      9.00      0.92       4.65E-05       6.82E-06       2.29E-04   1
      0.50      1.00      8.50      9.00      1.00       4.09E-05       5.19E-06       2.17E-04   1
      0.50      1.00      8.50      9.00      1.08       3.62E-05       4.47E-06       2.05E-04   1
      0.50      1.00      8.50      9.00      1.16       3.15E-05       3.82E-06       1.85E-04   1
      0.50      1.00      8.50      9.00      1.24       2.76E-05       3.39E-06       1.76E-04   1
      0.50      1.00      8.50      9.00      1.32       2.46E-05       3.04E-06       1.67E-04   1
      0.50      1.00      8.50      9.00      1.40       2.32E-05       2.64E-06       1.56E-04   1
      0.50      1.00      8.50      9.00      1.48       2.14E-05       2.27E-06       1.49E-04   1
      0.50      1.00      8.50      9.00      1.56       1.99E-05       2.01E-06       1.51E-04   1
      0.50      1.00      8.50      9.00      1.64       1.84E-05       1.80E-06       1.51E-04   1
      0.50      1.00      8.50      9.00      1.72       1.74E-05       1.58E-06       1.50E-04   1
      0.50      1.00      8.50      9.00      1.80       1.59E-05       1.30E-06       1.51E-04   1
      0.50      1.00      8.50      9.00      1.88       1.52E-05       1.13E-06       1.49E-04   1
      0.50      1.00      8.50      9.00      1.96       1.44E-05       9.22E-07       1.43E-04   1
      0.50      1.00      8.50      9.00      2.04       1.35E-05       7.71E-07       1.41E-04   1
      0.50      1.00      8.50      9.00      2.12       1.23E-05       6.60E-07       1.41E-04   1
      0.50      1.00      8.50      9.00      2.20       1.11E-05       5.52E-07       1.33E-04   1
      0.50      1.00      8.50      9.00      2.28       1.00E-05       4.58E-07       1.28E-04   1
      0.50      1.00      8.50      9.00      2.36       8.87E-06       3.56E-07       1.17E-04   1
      0.50      1.00      8.50      9.00      2.44       7.41E-06       2.83E-07       1.03E-04   1
      0.50      1.00      8.50      9.00      2.52       5.83E-06       2.11E-07       8.60E-05   1
      0.50      1.00      8.50      9.00      2.60       4.33E-06       1.46E-07       6.45E-05   1
      0.50      1.00      8.50      9.00      2.68       2.84E-06       9.57E-08       4.42E-05   1
      0.50      1.00      8.50      9.00      2.76       1.63E-06       5.64E-08       2.75E-05   1
